name,lat,lon,type,amenity,tags
McLeod Athletic Park,49.106963969174515,-122.62742404494041,nature,nature,{}
Duthie-Union Park,49.27770103539316,-122.9474972846283,nature,nature,{}
Duthie-Union Park,49.27916747649696,-122.95157165926497,nature,nature,{}
Sewqueqsen Settlement at St.Mungo Cannery,49.15792773858883,-122.94081788427958,nature,nature,{}
Goldstone Park,49.10914539358564,-122.81632065065729,nature,nature,{}
Brownsville Bar Park,49.205350873083304,-122.89148034172955,nature,nature,{}
Francis Park,49.15414305068317,-122.78028113523881,nature,nature,{}
Fleetwood Park,49.144365989381264,-122.78323936813163,nature,nature,{}
Waterfront Commons Park,49.20092525492643,-122.68036933318909,nature,nature,{}
Shoreline Park,49.201645428877605,-122.68408433278695,nature,nature,{}
Kilmer Park,49.243927726688554,-122.76751146902106,nature,nature,{}
Riverview Park,49.25841279788385,-122.80595186376698,nature,nature,{}
Upper Coquitlam River Park,49.3246401484849,-122.77240397714301,nature,nature,{}
Flavelle Park,49.303426621262176,-122.85723168006334,nature,nature,{}
Old Orchard Park,49.28953068759072,-122.84593744439937,nature,nature,{}
Rocky Point Park,49.28013612860862,-122.84908220534815,nature,nature,{}
Kyle Park,49.275380193480736,-122.85641398686982,nature,nature,{}
Pleasantside Park,49.29461211778654,-122.85377220319481,nature,nature,{}
Westridge Park,49.28167613011358,-122.95980577876813,nature,nature,{}
Stride Avenue Ravine Park,49.21379980607622,-122.95601487648716,nature,nature,{}
Grand Boulevard,49.31981852010668,-123.0569993482847,nature,nature,{}
Hyak Park,49.32267479148614,-123.10157893009303,nature,nature,{}
Tempe Heights Park,49.332612223144416,-123.05997478149739,nature,nature,{}
Strathaven Park,49.31398468814479,-122.98242588762469,nature,nature,{}
Cove Cliff Park,49.322023520321245,-122.94880542023256,nature,nature,{}
Maplewood Park,49.30884924690602,-123.01250015891782,nature,nature,{}
Inter River Park,49.32127151311872,-123.02612687143053,nature,nature,{}
St Albans Park,49.350285671658256,-123.07139933012608,nature,nature,{}
Fairmont Park,49.338779363430966,-123.09456869610241,nature,nature,{}
Hadden Park,49.34505609910743,-123.13092257976547,nature,nature,{}
Millstream Trail Park,49.353653373937135,-123.15721553623594,nature,nature,{}
Shield's Dam Park,49.35345450972074,-123.15989508791014,nature,nature,{}
McKechnie Park,49.34205419958435,-123.22085902833764,nature,nature,{}
Altamont Beach Park,49.33758619309952,-123.19736532009136,nature,nature,{}
Semisch Park,49.314452921839795,-123.08266476301104,nature,nature,{}
Kennedy Park,49.16783437898538,-122.88597349299887,nature,nature,{}
Sunstone Park,49.154536729812655,-122.92855168592865,nature,nature,{}
Ladner Harbour Park,49.09392294898356,-123.0911573642732,nature,nature,{}
Lighthouse Park,49.33525703577424,-123.26227291269504,nature,nature,{}
Sequoia Ridge Park,49.14675082566053,-122.79868917491684,nature,nature,{}
Chimney Hill Park,49.137997068355915,-122.80347312570896,nature,nature,{}
Mountain View Park,49.05654266939239,-122.78246252748778,nature,nature,{}
Barnston Park,49.18500651649098,-122.72745193203974,nature,nature,{}
Cates Park/Whey-ah-wichen,49.30335032311107,-122.95551425529567,nature,nature,{}
Merkley Park,49.22595136496237,-122.61298756185617,nature,nature,{}
Denny Ross Memorial Park,49.08804161720784,-122.6168672732741,nature,nature,{}
White Rock Park,49.02195715790403,-122.80838471953987,nature,nature,{}
McSpadden Park,49.266160960409465,-123.06661048873366,nature,nature,{}
Alderwood Park,49.033946946772275,-122.78367123883672,nature,nature,{}
Peace Arch Historical State Park,49.00144598648685,-122.75263987458182,nature,nature,{}
Settler's Park,49.23844036155532,-122.78019256572603,nature,nature,{}
Eastern Drive Park,49.239721209396606,-122.7829643698481,nature,nature,{}
Dogwood Park,49.040354828260085,-122.84863524937141,nature,nature,{}
Langley Meadows Park,49.11970842084728,-122.67203223820903,nature,nature,{}
Johnston Road Greenbelt,49.02103374697146,-122.80114012237469,nature,nature,{}
Cypress Street Greenbelt,49.01966112408819,-122.79491315096129,nature,nature,{}
Balsam Street Greenbelt,49.019072092366414,-122.79317159391422,nature,nature,{}
Dolphin Street Greenbelt,49.019997819425974,-122.79697153983328,nature,nature,{}
Centre Street Greenbelt,49.020361129817644,-122.79891610806742,nature,nature,{}
Foster Street Greenbelt,49.02117302199995,-122.80365356695553,nature,nature,{}
MacCaud Park,49.02924284716687,-122.78507518055646,nature,nature,{}
Almond Park,49.26090692561749,-123.18462140366464,nature,nature,{}
Meadows Edge Park,49.123281876734445,-122.67035874488482,nature,nature,{}
Parkwood Place Mini-Park,49.13802287567406,-122.90237040478696,nature,nature,{}
89A Avenue Park,49.16610262109446,-122.8937786802102,nature,nature,{}
Woodward Hill Park,49.113242779847255,-122.82548843175134,nature,nature,{}
Barnston Island Regional Park,49.19661942728328,-122.68695916269388,nature,nature,{}
Sutcliffe Park,49.26908765709362,-123.13492815641295,nature,nature,{}
Pacific Spirit Regional Park,49.254793232982436,-123.22183478023351,nature,nature,{}
Bucci Park,49.15969167797286,-122.76283990046328,nature,nature,{}
British Manor Park,49.14709376614832,-122.8183759680295,nature,nature,{}
Enver Creek Park,49.15125883381376,-122.81271943782389,nature,nature,{}
43T - Greenbelt,49.14863991033686,-122.80259237735056,nature,nature,{}
Coast Meridian Park,49.152028109155935,-122.75292170479382,nature,nature,{}
55H - Greenbelt,49.14622438367677,-122.75883681798294,nature,nature,{}
56B - Greenbelt,49.144862013126,-122.75524648660435,nature,nature,{}
56A - Neighbourhood Park,49.144624834182544,-122.75411094898453,nature,nature,{}
