name,lat,lon,type,amenity,tags
Mezbaan Indian & Indo Chinese Food,49.1769893,-122.8683199,food,food,{}
Bozzini's,49.1917865,-122.8438,food,food,{}
Nam Vegan Express,49.2308636,-122.906499,food,food,{}
Season's Apple Café,49.2311877,-122.905834,food,food,{}
La Quercia,49.2687655,-123.1853463,food,food,{}
The Tannenbaum Restaurant,49.2007846,-122.916135,food,food,{}
Ki Sushi,49.2019939,-122.912085,food,food,{}
Makoto Sushi,49.2149746,-122.9879015,food,food,{}
Sweet Cherubim,49.2746801,-123.0698694,food,food,{}
Suzette's Cafe,49.2501178,-122.7564129,food,food,{}
Garlic and Chili,49.265511,-122.9784549,food,food,{}
Danbo,49.3217244,-123.072586,food,food,{}
North Burnaby Wonton House,49.2802492,-122.965469,food,food,{}
Burnaby Mountain Clubhouse,49.2649661,-122.942888,food,food,{}
Lattea,49.2283623,-123.0045231,food,food,{}
Sushimoto,49.2644099,-122.981882,food,food,{}
Donair Town,49.2778577,-122.9119211,food,food,{}
Bamboo Garden,49.277901,-122.9121884,food,food,{}
Plum Garden,49.2778289,-122.9117429,food,food,{}
Renaissance,49.277825,-122.9143548,food,food,{}
Mackenzie Cafe,49.2789099,-122.915588,food,food,{}
Japarrito,49.2781018,-122.912178,food,food,{}
Gawon Express,49.2780059,-122.911585,food,food,{}
Yogost,49.2778866,-122.9120993,food,food,{}
Todai Sushi,49.1556048,-122.9135779,food,food,{}
Hong Sushi,49.2802489,-122.965618,food,food,{}
Deer Garden Signatures,49.1780886,-123.1274542,food,food,{}
Sing Yee Chinese Restaurant,49.1849463,-123.1292553,food,food,{}
Andiamo's Pizza & Pasta House,49.2179075,-122.6471171,food,food,{}
gm Restaurant,49.2179089,-122.6470097,food,food,{}
The Crab Shop,49.3066529,-123.0085425,food,food,{}
Club Salmon,49.2218399,-123.0054728,food,food,{}
Tocador,49.2617901,-123.1007734,food,food,{}
Barney's On Main,49.262522,-123.1007068,food,food,{}
Tamaly Shop,49.2624451,-123.101283,food,food,{}
G-Be Izakaya,49.2565248,-123.0062372,food,food,{}
Alberello Pizzeria,49.321953,-123.0728213,food,food,{}
On On Wonton House,49.2226452,-122.9823108,food,food,{}
Chongqing Qing Qin-Ma Hot Pot Restaurant,49.2265741,-122.9930695,food,food,{}
Ha Cafe,49.2282144,-122.9982869,food,food,{}
Caffe Divano,49.2839076,-122.793435,food,food,{}
The One,49.2206301,-122.9772656,food,food,{}
Vassillis Souvlaki Greek Taverna,49.218898,-122.968487,food,food,{}
Haiyi Seafood Restaurant,49.2420422,-123.1011291,food,food,{}
Harvest Community Foods,49.2777846,-123.0981833,food,food,{}
New Town Bakery & Restaurant,49.2802896,-123.1012033,food,food,{}
Terra Breads,49.2714358,-123.1068353,food,food,{}
Java Hut Cafe,49.1185376,-122.801286,food,food,{}
Toast to Coast Brunch Bar,49.1250656,-123.1825677,food,food,{}
Hog Shack Cook House,49.1236709,-123.182326,food,food,{}
Steveston Pizza Co.,49.1250867,-123.1856189,food,food,{}
Kun's Omakase Bar,49.1248697,-123.184767,food,food,{}
Rocanini Coffee Roasters,49.1250197,-123.181355,food,food,{}
Oeb Breakfast Co.,49.2734675,-123.119191,food,food,{}
Sciué Italian Bakery Caffé,49.2732067,-123.1207367,food,food,{}
Belgian Fries,49.2679123,-123.0698882,food,food,{}
Brown's Socialhouse Lynn Valley,49.3361269,-123.0393028,food,food,{}
Magari by Oca,49.2733751,-123.0693791,food,food,{}
Mui Ngo Gai,49.2446462,-123.0644833,food,food,{}
Hoi An Cafe,49.2388439,-123.0651791,food,food,{}
Hoa Phuong Do,49.238271,-123.06518,food,food,{}
Happy Family Restaurant,49.2435959,-123.062358,food,food,{}
Al Porto Ristorante,49.284626,-123.1092825,food,food,{}
MoMo Sushi,49.2847089,-123.110228,food,food,{}
Nuba,49.2827611,-123.109648,food,food,{}
Pho Hung,49.1997143,-122.7779087,food,food,{}
In and Out Donair / Burger,49.240208,-123.0649364,food,food,{}
il Mundo Cafe,49.2678955,-123.0694386,food,food,{}
Sal y Limon,49.2688079,-123.0694236,food,food,{}
Continental Coffee,49.2685475,-123.0694302,food,food,{}
Pho Duy Vietnamese Restaurant,49.245058,-123.0653916,food,food,{}
Jun Yuan Restaurant,49.23238,-123.065304,food,food,{}
Riddim & Spice,49.2674073,-123.0699362,food,food,{}
Prado Cafe,49.2671946,-123.0694273,food,food,{}
Aroma Indian Restaurant,49.2762689,-122.8445554,food,food,{}
Tahn Door,49.2366104,-122.8531081,food,food,{}
I Love Sushi,49.236748,-122.8531038,food,food,{}
Pearl Fever,49.2368168,-122.8531017,food,food,{}
Aria Afghan Grill,49.2368807,-122.871947,food,food,{}
Breka Bakery & Café,49.2251092,-123.0909697,food,food,{}
CoCo Fresh Tea & Juice,49.2668069,-123.004426,food,food,{}
Busan Daeji Gukbap Korean Restaurant,49.2436897,-122.892992,food,food,{}
Dae Ji,49.2436966,-122.893547,food,food,{}
ARISU Authentic Korean BBQ,49.2436903,-122.893415,food,food,{}
Jejudo,49.2442616,-122.894725,food,food,{}
Sushi Line,49.1365912,-122.8431799,food,food,{}
Koon Bo Seafood Restaurant,49.233322,-123.0901205,food,food,{}
Momiji Japanese Cuisine,49.3161959,-122.9682354,food,food,{}
Eighties Restaurant,49.3211676,-123.0730131,food,food,{}
Tehran Nights Restaurant,49.322223,-123.073174,food,food,{}
Stepho's Greek Restaurant,49.2807022,-123.131961,food,food,{}
Joey,49.2827572,-123.123139,food,food,{}
Cafe Bellagio,49.283029,-123.121574,food,food,{}
Take Five Cafe,49.2238335,-122.892613,food,food,{}
Tomo Sushi,49.0601165,-122.4930308,food,food,{}
Palki Indian,49.3222679,-123.0714,food,food,{}
Brazza Gelato & Coffee,49.325842,-123.071965,food,food,{}
Sushi Katsu,49.3260968,-123.0724768,food,food,{}
Pearl Fever Tea House,49.1192765,-122.669559,food,food,{}
Brioche Ristorante,49.2840979,-123.1069482,food,food,{}
Hirame Sushi,49.0772323,-122.6703484,food,food,{}
Ocean Park Pizza,49.0748694,-122.6671597,food,food,{}
Estrella's Montreal Deli & Cafe,49.1102191,-122.668383,food,food,{}
Hitori Japanese Restaurant,49.0910013,-122.6070308,food,food,{}
JD Farms,49.0961285,-122.5375554,food,food,{}
Oneway Cafe,49.2541983,-122.914779,food,food,{}
Revolver,49.2831716,-123.109459,food,food,{}
Longtail Kitchen,49.2000285,-122.911494,food,food,{}
RE-UP BBQ,49.200092,-122.911515,food,food,{}
Angelina's Dutch Corner,49.2001277,-122.911178,food,food,{}
Rogue Kitchen & Wetbar,49.2853939,-123.1114016,food,food,{}
Joe's Cafe,49.2740455,-123.0693604,food,food,{}
House of Dosas,49.2504077,-123.0762609,food,food,{}
Creekside Coffee Factory,49.2784528,-122.8067007,food,food,{}
